token,value,,character limit, comment
golf_ui_timesup,ZEIT IST UM!,,20,
results_normal_hits,Normal,,20,
results_charged_hits,Springschläge,,20,
kabam,Ka-BUMM!,,20,
keep_local,Lokal,,23,
leaderboard_allsports,Alle Sportarten,,,
leaderboard_point,Punkt,,,
leaderboard_points,Punkte,,,
legal_preamble,"Das Kaufen, Herunterladen, Spielen und/oder Benutzen von Super Beat Sports auf andere Art und Weise erfordert Ihre Annahme von folgenden Richtlinien, sowie Ihre Zustimmung diese einzuhalten:",,,
legal_privacy_policy,Datenschutzrichtlinien - http://www.superbeatsports.com/superprivacy,,,Do not translate web address
legal_tos,Nutzungsbedingungen - http://www.superbeatsports.com/superterms,,,Do not translate web address
loading_321,"Hör auf das „3, 2, 1!“, um deine Schmetterbälle zu timen.",,150,
loading_all_1,"TIPP: Atme tief durch, glaub an dich und werde eins mit dem Rhythmus.",,150,
loading_all_2,"Verdiene bessere Medaillen, um die Preise schneller freizuschalten.",,150,
loading_all_3,"Pausiere das Spiel, um deine Steuerung zu überprüfen.",,150,
loading_all_4,"Gibt es Verzögerungen beim Spielen? Finde heraus, ob dein Fernseher eine Einstellung für Spiele hat, und probiere sie aus.",,150,
loading_all_5,„Du gehst jetzt da raus und besiegst sie!“ \n- Wubwubs Mantra,,150,
loading_all_6,"Wubwub bedeutet es viel, dass er mit dir spielen kann.",,150,
loading_all_7,"„Nubz, nubz nubz? Nubz! Nubz nubz nubz.“ - Nubz",,150,
loading_all_8,Besucher von Muzikalia finden das beste Essen im Super-Ess-Hafen.,,150,
loading_avsync,"Wenn Bild und Ton nicht synchron sind, öffne das Optionsmenü, wähle „Kalibrierung“ und hab Spaß.",,150,
loading_clicktohit,Spiele mit der Bewegungssteuerung für das ultimative Sporterlebnis!,,150,
loading_shadows,"Beobachte die Schatten auf dem Boden, um Big Baos hohe Bälle leichter verfolgen zu können.",,150,
loading_throbot,"Schau dir das Übungslevel an, um Thro-Bots knifflige Würfe zu meistern.",,150,
loading_wiggle,"Nibbzes machen immer das Gleiche, bevor sie singen.",,150,
loading_g_chill,"Lehn dich zurück, entspanne und bereite dich auf das Golfgelage vor.",,150,
loading_g_diet,Nibbzes sind als die größten Feinschmecker der Muzikalia-Galaxie bekannt.,,150,
loading_stacking,"Im Mehrspielermodus kann der oberste Slugger <icon=thumb_down> drücken, um nach unten zu springen.",,150,Do not translate text between < >
loading_v_wubwub,"Wenn Wubwub dir den Ball zuschießt, dann bereite dich auf einen Schmetterball vor!",,150,
loading_v_squibz,„Ein Tag ohne Netzball ist ein trostloser Tag“ - altes squibzianisches Sprichwort.,,150,
loading_s_wicked,"Setze die Kniffligkeit auf „Abgefahren“, wenn du bereit für eine Herausforderung bist.",,150,
load_failed_message,Der ausgewählte Speicherplatz konnte nicht geladen werden.,,150,
meet_slugger,Das ist Lil. Sie ist ein Slugger.,,45,"slugger is what we call the human characters you play in the game, adorable little athletes"
month_april,April,,12,
month_august,August,,12,
month_december,Dezember,,12,
month_february,Februar,,12,
month_january,Januar,,12,
month_july,Juli,,12,
month_june,Juni,,12,
month_march,März,,12,
month_may,Mai,,12,
month_november,November,,12,
month_october,Oktober,,12,
month_september,September,,12,
mp_options,Mehrspieleroptionen,,32,
network_error,Netzwerkfehler,,24,
preview_skip,Vor. abbr. <icon=L>/<icon=R>,,12,
preview_watch,Ansehen und anhören,,20,
prompt_1lane,<icon=thumbstick>,,4,
prompt_1lane_left,<icon=thumb_left>,,4,
prompt_1lane_right,<icon=thumb_left>,,4,
prompt_2lanes,[BUG THIS],,,
prompt_2lanes_left,<icon=thumb_left>,,4,
prompt_balloonfill,Vollmachen!,,20,
prompt_chargehit,<icon=swingbutton> gedrückt halten,,34,Do not translate text between < >
prompt_clickhit,<icon=swingbutton>,,34,
prompt_fastgoldie,Achtung! ,,34,
prompt_g_hitleft,<icon=thumb_left><icon=swingbutton>,,34,
prompt_g_hitright,<icon=thumb_right><icon=swingbutton>,,34,
prompt_g_hitstraight,<icon=thumb_forward><icon=swingbutton>,,34,
prompt_lobs,Vorsicht!,,34,
prompt_lowballs,Wenig Bälle,,34,
prompt_swinghit,Schwenke,,34,
prompt_swingorclick,<icon=swingbutton>,,34,
prompt_swipe,Swipe[BUG THIS],,,
prompt_swipeortap,Swipe or Tap[BUG THIS],,,
prompt_tap,Tap[BUG THIS],,,
results_bronze3,Gut!,,34,
results_celebrate,<icon=button>Feiern!,,24,Do not translate text between < >
results_certif,Teilnahmezertifikat,,30,
results_profilename,%s,,24,
results_total,Gesamt,,24,
results_misses,Fehlschüsse,,24,
results_hits,Treffer,,24,
results_early_late_label,Zu früh / Zu spät,,24,
results_gear_equip_help,Du kannst dieses Objekt jederzeit in der Levelauswahl ausrüsten.,,150,
results_gear_equip_no,Später ausrüsten,,24,
results_gear_equip_yes,Jetzt ausrüsten,,24,
results_gear_unlocked_title,Ausrüstung erhalten!,,32,
results_high_score_label,Highscore,,24,
results_main_menu,Levelauswahl,,24,
results_msg_bronze1,Geschafft!,,34,
results_msg_bronze2,Gute Arbeit!,,34,
results_msg_bronze3,Nicht schlecht!,,34,
results_msg_gold1,Wow!,,34,
results_msg_gold2,Außergewöhnlich!,,34,
results_msg_gold3,Meisterleistung!,,34,
results_msg_particip1,Danke fürs Spielen!,,34,
results_msg_particip2,Das war lustig!,,34,
results_msg_particip3,Du schaffst das!,,34,
results_msg_particip4,Das war okay!,,34,
results_msg_plat1,Lil fürs Präsidentenamt!,,34,
results_msg_plat2,Zeit zum Feiern!,,34,
results_msg_plat3,Gut!,,34,
results_msg_plat4,TOOOOOOOOOOOOR!,,34,
results_msg_silv1,Das war großartig!,,34,
results_msg_silv2,Gut gemacht!,,34,
results_msg_silv3,So geht das!,,34,
results_msg_squash,Kumpelspiel-Champs!,,34,
results_msg_rhythm_racket,Der Sieger steht fest!,,34,
results_newbest,Neue Bestwertung,,24,
results_nextunlock,Nächster Preis,,24,
results_next_level,Nächstes Level,,24,
results_particip,Teilnahmezertifikat,,24,
results_perfect_label,Perfekt,,24,
results_perfect_label_with_star,<icon=star>Perfekt,,24,Do not translate text between < >
results_play_again,Nochmal,,24,
results_score_label,Punkte,,24,
results_streak_label,Beste Serie,,24,
results_s_replay,Nochmal,,24,
round,Runde,,24,
rr_pizza_mssg,!!!PIZZA!!!,,20,
rr_sax_mssg,HOL DIR DAS HERZ!!!,,20,
rr_hot_potato_mssg,ACHTUNG!!!,,20,
save_failed_message,Fortschritt konnte nicht gespeichert werden.,,150,
shell_avsync,Kalibrierung,,32,
shell_avsync_prompt,"Da du das erste Mal spielst, solltest du zuerst Super Beat Sports für dein Heimsystem konfigurieren.",,150,
shell_avsync_reminder,"Sind Bild und Ton nicht synchron, kannst du sie jederzeit im Menü „Einstellen“ anpassen.",,150,
shell_baseball,Abgedrehter Schläger,,32,
shell_buddyball,Kumpelspiel,,32,
shell_calibration_message,"Das Bild ist nicht mit dem Ton synchron? Öffne die OPTIONEN und wähle dann KALIBRIERUNG, um deine AV-Einstellungen anzupassen.",,150,
shell_comingsoon,Demnächst,,24,
shell_confirm_delete_profile,Speicherstand wirklich löschen?,,50,
shell_confirm_no,Nein,,24,
shell_confirm_okay,Okay,,24,
shell_confirm_yes,Ja,,24,
shell_connected_players,Verbundene Spieler:,,24,
shell_continue,Weiter,,24,
shell_controller,<icon=button>Controller wechseln,,30,Do not translate text between < >
shell_controller_hold_grip,<icon=button>[halten] Halterung ändern,,30,Do not translate text between < >
shell_controller_pause,Controller wechseln,,30,
shell_controls,Abg.-Schläger-Steuerung,,24,
shell_credits,Team,,32,
shell_disconnect_continue,Mit %d Spielern fortfahren,,150,Do not translate %d
shell_disconnect_title,Verbindungsabbruch!,,24,
shell_press_L_R,Drücke <icon=swingbutton>,,32,Do not translate text between < >
shell_eula,EULA,,4,This stands for End User License Agreement
shell_eula_long,Endnutzerlizenzvereinbarung - http://www.superbeatsports.com/superEULA,,,Do not translate web address
shell_gear,Mein Slugger,,32,
shell_gear_bat,Schläger,,16,
shell_gear_outfit,Outfit,,16,
shell_gear_outfit_color,Farbe,,32,
shell_gear_save,Anwenden,,32,
shell_gear_unsaved_changes,Einige Änderungen am Slugger wurden nicht gespeichert. Trotzdem fortfahren?,,150,
shell_golf,Golfgelage,,32,
shell_how_to_play,So wird gespielt,,24,
shell_inputlag_fail,Wir müssen es wohl nochmal versuchen. Bereit?,,150,
shell_inputlag_prompt,"<style=action>Drücke</style><icon=swingbutton>jedes Mal, wenn der Ball aufschlägt.",,150,Do not translate text between < >
shell_inputlag_success,"Großartig, du bist einsatzbereit!",,150,
shell_joy_con_grip,<icon=joy_con_solo>Halterung ändern,,32,Do not translate text between < >
shell_joy_con_grip_disabled,Halterung ändern,,32,
shell_leaderboards,Bestenliste,,,
shell_legal,Rechtliches,,32,
shell_level_select,Levelauswahl,,32,
level_label_normal,Normal,,32,
level_label_standard,Normal,,32,
level_label_pro,Profi,,32,
shell_loading,Lädt ...,,24,
shell_love_prompt,Im Menü <style=name>Mein Slugger</style> gibt es neue Ausrüstung!,,,Do not translate text between < >
shell_main_menu,Hauptmenü,,32,
shell_menu_back,<icon=arrow><icon=button>,,32,
shell_menu_settings,Optionen,,32,
shell_menu_title,Titelbildschirm,,32,
shell_motion_off,Bewegungssteuerung aus,,24,
shell_motion_on,Bewegungssteuerung an,,24,
shell_motion_swing,<icon=button>Schwenken umschalten,,24,Do not translate text between < >
shell_motion_swing_state,<icon=checkmark>Schwenkbew.,,24,Do not translate text between < >
shell_mp_advanced,Benutzerdefiniert,,24,
shell_mp_connect,Zum Spielen verbinden,,24,
shell_mp_custom_tricky,Benutzerdefiniert,,24,
shell_mp_join_download,Download:,,32,
shell_mp_join_host,Netzwerk:,,32,
shell_mp_join_p1,S1,,4,"this stands for player 1, as the subsequent cells"
shell_mp_join_p2,S2,,4,
shell_mp_join_p3,S3,,4,
shell_mp_join_p4,S4,,4,
shell_tier1,Stufe 1,,20,
shell_tier2,Stufe 2,,20,
shell_tier3,Stufe 3,,20,
shell_tier4,Stufe 4,,20,
shell_tier5,Stufe 5,,20,
shell_tier6,Stufe 6,,20,
shell_tier7,Stufe 7,,20,
shell_tier8,Stufe 8,,20,
shell_tier9,Stufe 9,,20,
shell_mp_play,Spielen!,,20,
shell_mp_ready,Bereit!,,20,
shell_mp_start,"Wenn bereit, „Spielen“ wählen",,30,
shell_s2s_refresh,<icon=button>Aktualisieren,,20,Do not translate text between < >
shell_s2s_available,Verfügbare Räume,,20,
shell_s2s_createroom,Raum erstellen,,20,
shell_s2s_roomname,Raum von %s,,32,"do not translate %s as it will show a user's name, but do make this phrase possessive"
shell_s2s_searching,Nach Räumen suchen ...,,32,
shell_s2s_connectedplrs,Verbundene Spieler,,32,
shell_mp_waiting,Warten ...,,20,
shell_multi_player,Lokal,,32,
shell_clarify_play,1 bis 4 Spieler auf dieser Konsole,,35,
shell_clarify_local,Mit Spielern in der Nähe verbinden,,35,
shell_s2s_icon,<icon=switchtoswitch>,,4,
shell_switch_icon,<icon=switch_icon>,,4,
shell_new,Neu,,12,
shell_new_save,Neu,,12,
shell_next,<icon=button>Weiter,,12,Do not translate text between < >
shell_nogear_prompt,"Verdiene mehr Medaillen, um Outfits und Schläger für deinen Slugger freizuschalten.",,150,
shell_option_off,Aus,,12,
shell_option_on,An,,12,
shell_options,Optionen,,32,
shell_pause_quit_message,Wirklich verlassen?,,150,
shell_pause_restart_message,Wirklich neu starten?,,150,
shell_pause_title,Pause,,32,
shell_pause_tutorial_message,Hilfenachrichten zurücksetzen?,,150,
shell_player_done,Fertig,,15,
shell_player_edit,Bearbeiten,,15,
shell_team,Team,,24,
shell_player_editing,Bearbeiten,,20,
shell_player_join,Beitreten,,20,
shell_player_waiting,Warten ...,,20,
shell_profile_slot_1,1,,1,
shell_profile_slot_2,2,,1,
shell_profile_slot_3,3,,1,
shell_levelselect_sp,Levels für Einzelspieler,,32,
shell_levelselect_mp,Levels für Mehrspieler,,32,
shell_levelselect_sp_pro,Profilevels für Einzelspieler,,32,
shell_levelselect_mp_pro,Profilevels für Mehrspieler,,32,
shell_promode,<icon=button>Profimodus,,37,Do not translate text between < >
shell_promode_message,Mit dieser Medaille hast du den <style=action>Profimodus</style> dieser Sportart freigeschaltet!\nWechsle im Menü für die Levelauswahl zum Profimodus – wenn du dich traust!,,150,
shell_promode_off,Pro Mode Off,,32,
shell_promode_on,Pro Mode On,,32,
shell_promode_prompt,"Du denkst, du bist bereit für den <style=action>Profimodus</style> dieser Sportart?\nBeweise es, indem du eine GOLD- oder PLATIN-Medaille verdienst.",,150,
shell_promode_unlocked,Profimodus freigeschaltet!,,32,
shell_quit,Verlassen,,15,
shell_reconnect_main_message,Zum Fortfahren S1-Controller wieder anschließen.,,150,P1 stands for player 1
shell_gameselect,Spielauswahl,,32,
shell_reset,<icon=button>Zurücksetzen,,32,Do not translate text between < >
shell_restart,Neustart,,24,
shell_resume,Fortfahren,,24,
shell_rhythmracket,Rhythmusschläger,,32,
shell_rr_team_select,"Spieler 1, wähle deine Teams!",,75,
shell_rr_options,Optionen für Rhythmusschläger,,32,
shell_rr_hearts,Herzen,,24,
shell_song,Song,,24,
shell_rr_song_1,Eins,,15,
shell_rr_song_2,Zwei,,15,
shell_rr_song_3,Drei,,15,
shell_stage,Level,,24,
shell_rr_arena,Arena,,24,
shell_rr_arena_1,Eins,,15,
shell_rr_arena_2,Zwei ,,15,
shell_rr_arena_3,Drei,,15,
shell_rr_arena_random,Zufällig,,15,
shell_rr_teams,Modus,,24,
shell_rr_teams_1v1,1 gg. 1,,15,
shell_rr_teams_2v2,2v2,,15,
shell_rr_teams_f4a,Jeder gg. jeden,,15,
shell_rr_ai_difficulty,Robotertalent,,24,CPU stands for computer player
shell_save,Speichern,,24,
shell_save_slot,Speicherplatz,,32,
shell_select,<icon=button><icon=arrow>,,24,
shell_select_slots,Speicherstandauswahl,,24,
shell_single_player,Spielen!,,24,
shell_slot_confirm,Bestätigen,,24,
shell_slot_delete,Löschen,,24,
shell_s_adv_bombs,Bomben,,24,
shell_s_adv_dirchange,Richtungswechsler,,24,
shell_s_adv_sfasts,Nubz,,24,character name
shell_s_adv_sslows,Wubwub,,24,character name
shell_s_adv_tempo,Beschleuniger,,24,
shell_s_adv_nubbs,Nubzifierer,,24,
shell_s_basic,Einfach,,15,
shell_s_connect,Zum Beitreten Smartphone verbinden.,,0,
shell_s_firsttime,Willkommen zum Kumpelspiel,,32,
shell_s_header,Kumpelspiel,,32,
shell_s_options,Optionen,,32,
shell_s_play,<icon=button>Spielen,,24,Do not translate text between < >
shell_s_player1,Spieler 1,,20,
shell_s_player2,Spieler 2,,20,
shell_s_player3,Spieler 3,,20,
shell_s_player4,Spieler 4,,20,
shell_s_ready,Bereit!,,24,
shell_s_speed,Tempo,,24,
shell_s_speed_fast,Schnell,,15,
shell_s_speed_med,Mittel,,15,
shell_s_speed_slow,Langsam,,15,
shell_stylin,Stylen ...,,15,
shell_s_start,Zum Starten gedrückt halten,,40,
shell_s_supreme,Abgefahren,,15,the hardest difficult
shell_s_trickiness,Kniffligkeit,,24,title for section in which players choose difficulty
shell_s_tricky,Fortgeschritten,,15,difficulty level but not the hardest
shell_s_waiting,Warte auf andere Spieler ...,,32,
shell_s_wins,Siege,,24,
shell_t_practice,Übung,,20,
shell_tapper_controls,Abgedrehter-Schläger-Steuerung,,32,
shell_tapper_controls_hit,Schlagen,,24,
shell_tapper_controls_move,Bahn wechseln,,24,
shell_tapper_practice,Übung,,20,
shell_tier_01,Daheim,,20,
shell_tier_02,Auswärts,,20,
shell_tier_03,Weit weg,,20,
shell_tier_04,Winter,,20,
shell_title_start,Starten!,,15,
shell_tutorial,So wird gespielt,,20,
shell_tutorial_avsync,"Bewege den Regler nach links oder rechts, bis Bild und Ton übereinstimmen. Wähle Weiter, wenn du fertig bist.\nDiese Einstellungen werden nur angewendet, wenn deine Konsole in der Station ist.",call out that its for docked mode,200,Don't translate \n
shell_volleyball,Netzball,,32,
shell_welcome_msg,Hallo! Ich bin <style=action>WUBWUB</style>. Willkommen in der <style=action>Muzikalia-Galaxie!</style> \nHier ist alles MUSIKALISCH.,,270,Don't translate \n
shell_welcome_title,Willkommen!,,32,
squash_results_title_win,Kumpelspiel-Champs!,,40,
squash_round_complete,Runde abgeschlossen,,40,
squash_starting_round,Runde beginnt,,40,
streak_label,Serie,,24,
tapper_results_title_win,Weiter so!,,32,
time_am,AM,,6,morning
time_format,%l:%i %p,,8,
time_pm,PM,,6,evening
timing_early,ZU FRÜH,,16,
timing_late,ZU SPÄT,,16,
shell_ok,Okay,,24,
tutorial_ft_tap_continue,Halte!,,24,
tutorial_golf_charge_hold,"Um einen <style=name>hüpfenden Nibbz</style> zu füttern, <style=action>DRÜCKE</style> und <style=action>HALTE</style> <icon=swingbutton>, wenn er anfängt zu singen. <style=action>LASS LOS</style>, wenn er hüpft.",,250,Do not translate text between < >
tutorial_g_charge_motion,"Um einen <style=name>hüpfenden Nibbz</style> zu füttern, <style=action>DRÜCKE</style> und <style=action>HALTE</style> <icon=swingbutton>, wenn er anfängt zu singen. <style=action>LASS LOS</style> oder <action=style>SCHWINGE</action> deinen Joy-Con, wenn er hüpft.",,,
tutorial_g_aiming,Ziele mit <icon=thumbstick> auf die unterschiedlichen Inseln.,,250,Do not translate text between < >
tutorial_g_ballsandbanking,"Jede Runde erhältst du ein paar zusätzliche Bälle. Jeder gerettete Ball ist am Ende Bonuspunkte wert, also sammle fleißig!",,250,Do not translate text between < >
tutorial_g_bonus,[BUG THIS],,250,
tutorial_g_bonusround,Verfüttere schnell alle übrigen Bälle an diesen SEHR hungrigen Nibbz für <style=name>Bonuspunkte</style>.,,250,Do not translate text between < >
tutorial_g_island,"Du musst nicht auf einen bestimmten Nibbz zielen, solange es die richtige Insel ist, passt das.",,250,Do not translate text between < >
tutorial_g_jumpers,[BUG THIS],,250,
tutorial_g_pinky,"Das ist ein hungriger <style=name>Nibbz</style>. Um einen zu füttern, drücke <icon=swingbutton>, wenn er singt. ",,250,Do not translate text between < >
tutorial_g_pinky_motion,"Das ist ein hungriger <style=name>Nibbz</style>. Um einen zu füttern, drücke <icon=swingbutton> oder <style=action>schwinge</style> deinen Joy-Con, wenn er singt. ",,,
tutorial_g_preview,"In jeder Runde hast du die Chance, das Muster zu sehen und anzuhören. Danach hast du zwei Chancen, alle Nibbzes zu füttern.",,250,Do not translate text between < >
tutorial_g_standardhits,"Schwenke oder triff den Ball, indem du auf <icon=swingbutton> drückst, damit der Ball einen <style=name>Nibbz</style> erwischt, sobald er sein hungriges Maul öffnet.",,250,Do not translate text between < >
tutorial_g_streaking,"Füttere alle Nibbzes in einem Versuch, um deine Punktzahl zu <style=name>verbessern</style>.",,250,
tutorial_g_mp_intro,"Im Mehrspieler-Golfgelage wird der Ball <style=red>rot</style>, wenn ihn der <style=red>rote Slugger</style> trifft und <style=blue>blau</style>, wenn ihn der <style=blue>blaue Slugger</style> trifft.",,250,
tutorial_g_mp_redblue,"<style=red>Rote Nibbzes</style> essen nur <style=red>rote Bälle</style> und <style=blue>blaue Nibbzes</style> nur <style=blue>blaue</style>. Stelle sicher, dass du den richtigen Ball zum entsprechenden Nibbz schlägst.",,250,Do not translate text between < >
tutorial_g_mp_combo,"Wenn du den Nibbz siehst, dann musst du den Ball zusammen mit dem anderen Spieler schlagen. Teamarbeit! Viel Erfolg, Slugger!",,250,Do not translate text between < >
tutorial_howtoplay,So wird gespielt:,,250,
tutorial_pro_click,"HINWEIS: Wenn du möchtest, kannst du <style=action>klicken</style>, um den Ball zu treffen, anstatt zu schwenken.[BUG THIS - msg to be cut]",,250,Do not translate text between < >
tutorial_r_intro,"Um zu gewinnen, <style=action>WEHRE</style> den Ball vor deinem Tor ab und <style=action>SCHLAG</style> ihn ins Tor deines Gegners!",,250,
tutorial_r_block,"Bewege <icon=thumbstick>, um den Ball daran zu hindern, ins Tor zu gelangen. Dadurch wird er über dich in die Luft geschlagen.",,250,Do not translate text between < >
tutorial_r_kickups,"<style=action>Superschlag</style> ausführen: Drücke <icon=setbutton>, um den Ball <style=name>vorzubereiten</style>, und schlage ihn mit <icon=swingbutton>, kurz bevor er landet. \n\nTIPP: Lausche den Beats!",,250,Do not translate text between < >
tutorial_r_aiming,"Verwende <icon=thumbstick> um zu zielen, wenn der Ball noch in der Luft ist.",,250,Do not translate text between < >
tutorial_r_spitters,"Der letzte Spieler, der mit dem Ball aufschlägt oder ihn trifft, erhält die Kontrolle über <style=name>alle</style> Nibbzes.\n\n<style=action>Ziele Nibbzes</style> mit <icon=thumbstick>. ",,250,Do not translate text between < >
tutorial_r_spitters_powershot,"Nibbzes schlagen automatisch, aber wenn du im Beat auf <icon=swingbutton> drückst, dann gibt es einen Superschlag!",,250,Do not translate text between < >
tutorial_r_powershot,"Drücke auf <icon=swingbutton> genau in dem Moment, in dem der Ball dich erreicht, für einen noch stärkeren Superschlag!",,250,Do not translate text between < >
tutorial_r_powerups,"Wenn du ein richtiges Match spielst, siehst du Power-ups auf dem Feld, die spezielle Herausforderungen auslösen, wenn sie getroffen werden. Solche Fähigkeiten sind dann ziemlich gefragt!",,250,
tutorial_streak,"Um deine <style=action>Serie</style> zu erhöhen, triff jeden Ball und schwenke nur, wenn du sollst. \n\nDeine höchste Serie verbessert deine Punktzahl!",,250,Do not translate text between < >
tutorial_swing,"Drücke <icon=swingbutton>, um den Ball zu treffen. Schwenke im Takt der Musik, um <style=name>deine Punkte zu verbessern</style>.",,250,Do not translate text between < >
tutorial_v_spikes,Manchmal ist der Aufschlag auch ein Schmetterball. Hör der Zuschauermenge zu für Hilfe beim Timing. 3-2-1-LOS!,,250,
tutorial_s_bombs,"Bomben sind ein Problem. Wenn du sie triffst, verlierst du 1 Herz.",,250,
tutorial_s_directsh,"Triff das, um die Spielrichtung zu ändern. Der Pfeil zeigt die aktuelle Richtung an.",,250,
tutorial_s_fast,<style=name>Squibz</style> schlägt den Ball etwas schneller.,,250,Do not translate text between < >
tutorial_s_items,Diese Objekte beeinflussen das Spiel auf verschiedene Arten.,,250,
tutorial_s_medium,<style=name>Nibbz</style> schlägt den Ball ziemlich langsam.,,250,Do not translate text between < >
tutorial_s_speedup,"Triff das, um alles zu beschleunigen.",,250,
tutorial_s_superfast,<style=name>Nubz</style> schlägt den Ball SEHR schnell. Lass dich von ihm nicht überrumpeln!,,250,Do not translate text between < >
tutorial_s_superslow,"Wenn du den Ball zu diesem gutaussehenden Typen schlägst, spielt er ihn schön langsam zum nächsten Slugger weiter.",,250,
